# Generated by scripts/build_universal_protocols.py; 20260910-v4.
camera_profile,label,mean_u,frequency_hz,depth_a,duration_s,settle_s,role
,ref_2_0.2,0.3,2,0.2,12,3,
,ref_2_0.8,0.3,2,0.8,12,3,
,main_f256_a0.02,0.3,256,0.02,12,3,
,main_f256_a0.04,0.3,256,0.04,12,3,
,main_f256_a0.08,0.3,256,0.08,12,3,
,main_f256_a0.12,0.3,256,0.12,12,3,
,main_f256_a0.2,0.3,256,0.2,12,3,
,main_f256_a0.36,0.3,256,0.36,12,3,
,main_f256_a0.64,0.3,256,0.64,12,3,
,main_f256_a1.0,0.3,256,1.0,12,3,
,main_f2_a1.0,0.3,2,1.0,12,3,
,main_f2_a0.64,0.3,2,0.64,12,3,
,main_f2_a0.36,0.3,2,0.36,12,3,
,main_f2_a0.2,0.3,2,0.2,12,3,
,main_f2_a0.12,0.3,2,0.12,12,3,
,main_f2_a0.08,0.3,2,0.08,12,3,
,main_f2_a0.04,0.3,2,0.04,12,3,
,main_f2_a0.02,0.3,2,0.02,12,3,
,main_f32_a0.02,0.3,32,0.02,12,3,
,main_f32_a0.04,0.3,32,0.04,12,3,
,main_f32_a0.08,0.3,32,0.08,12,3,
,main_f32_a0.12,0.3,32,0.12,12,3,
,main_f32_a0.2,0.3,32,0.2,12,3,
,main_f32_a0.36,0.3,32,0.36,12,3,
,main_f32_a0.64,0.3,32,0.64,12,3,
,main_f32_a1.0,0.3,32,1.0,12,3,
,main_f512_a1.0,0.3,512,1.0,12,3,
,main_f512_a0.64,0.3,512,0.64,12,3,
,main_f512_a0.36,0.3,512,0.36,12,3,
,main_f512_a0.2,0.3,512,0.2,12,3,
,main_f512_a0.12,0.3,512,0.12,12,3,
,main_f512_a0.08,0.3,512,0.08,12,3,
,main_f512_a0.04,0.3,512,0.04,12,3,
,main_f512_a0.02,0.3,512,0.02,12,3,
,ref_close_0.2,0.3,2,0.2,12,3,
,ref_close_0.8,0.3,2,0.8,12,3,
